Success,Debug_Attempts,Run_ID,Code_Size,Cyclomatic_Complexity,Nesting_Depth
1,0,1,112,23,3
1,0,1,153,29,4
1,0,1,176,38,4
1,2,2,70,15,2
1,4,2,118,22,3
1,5,2,75,16,2
1,0,3,37,9,3
1,0,3,113,28,4
1,1,3,86,21,3
1,2,4,100,10,2
1,6,4,104,17,4
1,4,4,136,23,4
1,2,5,134,44,3
1,2,5,255,59,5
1,4,5,104,18,2
1,0,6,250,48,6
1,1,6,188,47,4
1,2,6,113,29,3
1,0,7,36,11,2
1,2,7,111,17,2
1,3,7,132,34,5
1,1,8,160,46,5
1,0,8,204,50,4
1,1,8,164,41,5
1,0,9,78,6,2
1,0,9,149,34,7
1,0,9,80,16,2
1,3,10,49,13,1
1,2,10,134,31,3
1,4,10,160,39,5
1,0,11,65,15,3
1,1,11,122,21,4
1,3,11,156,13,4
1,2,12,193,45,4
1,0,12,80,22,3
1,4,12,137,25,8
1,0,13,190,49,5
1,3,13,167,42,8
1,6,13,79,19,2
1,7,14,177,28,5
1,0,14,150,44,6
1,0,14,120,20,4
1,2,15,162,42,4
1,1,15,108,21,4
1,0,15,99,21,4
1,0,16,38,21,3
1,0,16,123,24,3
1,0,16,65,8,2
1,14,17,215,86,7
1,0,17,115,31,6
1,2,17,102,19,5
1,5,18,163,29,4
1,6,18,116,20,3
1,3,18,159,33,5
1,2,19,163,39,5
1,0,19,151,35,7
1,2,19,122,30,3
1,0,20,151,26,4
1,5,20,164,34,3
1,6,20,154,18,3
1,4,1,156,34,5
1,2,1,126,16,3
1,0,1,86,17,3
1,4,2,85,16,2
1,2,2,167,29,5
1,7,2,171,51,4
1,0,3,49,15,4
1,3,3,113,4,2
1,0,3,76,20,5
1,2,4,100,10,2
1,6,4,104,17,4
1,4,4,136,23,4
1,2,5,121,41,3
1,1,5,285,67,4
1,4,5,100,9,3
1,6,6,295,69,6
1,0,6,141,41,4
1,3,6,78,13,4
1,0,7,36,11,2
1,1,7,139,25,5
1,1,7,97,20,3
1,1,8,155,33,3
1,4,8,197,46,7
1,0,8,137,28,4
1,0,9,71,7,2
1,0,9,174,42,5
1,2,9,17,4,0
